16, 150, PA5-C-Debug-SampleReadingsTest.txt 6
  -37.97,   -10.02,   117.25
    7.90,    30.10,    63.58
  -33.26,    44.71,   109.62
   55.50,    15.17,    93.63
   45.13,   -19.72,    47.03
   15.00,    43.94,    42.46
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -51.21,   -52.15,   119.56
   -5.35,   -12.02,    65.90
  -46.51,     2.58,   111.93
   42.25,   -26.95,    95.94
   31.88,   -61.84,    49.35
    1.76,     1.81,    44.77
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -54.06,   -17.08,   130.57
   -8.20,    23.04,    76.91
  -49.36,    37.65,   122.94
   39.40,     8.12,   106.95
   29.03,   -26.78,    60.36
   -1.09,    36.88,    55.78
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -60.69,   -27.99,   122.34
  -14.83,    12.14,    68.68
  -55.99,    26.75,   114.71
   32.78,    -2.79,    98.72
   22.41,   -37.68,    52.13
   -7.72,    25.97,    47.55
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -47.88,   -45.82,   151.36
   -2.01,    -5.70,    97.69
  -43.17,     8.91,   143.73
   45.59,   -20.62,   127.74
   35.22,   -55.52,    81.14
    5.09,     8.14,    76.57
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -26.46,    -9.27,   119.32
   19.41,    30.85,    65.66
  -21.75,    45.46,   111.69
   67.01,    15.93,    95.70
   56.64,   -18.96,    49.11
   26.51,    44.69,    44.53
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -16.80,   -48.93,   102.80
   29.06,    -8.81,    49.13
  -12.10,     5.80,    95.17
   76.67,   -23.73,    79.18
   66.29,   -58.63,    32.58
   36.17,     5.03,    28.01
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -90.55,   -56.32,   107.93
  -44.69,   -16.19,    54.27
  -85.85,    -1.58,   100.30
    2.92,   -31.12,    84.32
   -7.46,   -66.01,    37.72
  -37.58,    -2.35,    33.14
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -87.96,   -56.76,    93.39
  -42.10,   -16.64,    39.72
  -83.26,    -2.03,    85.76
    5.51,   -31.57,    69.77
   -4.87,   -66.46,    23.17
  -34.99,    -2.80,    18.60
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
